Time	Energy
1.3782	-96.1809
1.3829	-96.4597
1.3877	-96.6926
1.3924	-95.2494
1.3972	-96.1848
1.4020	-96.0628
1.4067	-95.4667
1.4115	-94.5491
1.4162	-95.7080
1.4210	-95.9525
1.4257	-95.3485
1.4305	-96.1290
1.4352	-95.8684
1.4400	-94.8426
1.4447	-95.1963
1.4495	-95.2808
1.4542	-95.4291
1.4590	-95.1823
1.4637	-95.3421
1.4685	-95.9121
1.4732	-94.5413
1.4780	-94.7341
1.4827	-94.4723
1.4875	-95.0408
1.4922	-94.7398
1.4970	-93.5913
1.5018	-95.5355
1.5065	-95.4813
1.5113	-94.8925
1.5160	-93.9341
1.5208	-95.1063
1.5255	-94.3436
1.5303	-95.6367
1.5350	-94.8406
1.5398	-94.5467
1.5445	-94.1653
1.5493	-95.1511
1.5540	-94.1354
1.5588	-93.8488
1.5635	-95.2093
1.5683	-94.3407
1.5730	-94.6813
1.5778	-94.8591
1.5825	-94.6587
1.5873	-95.3719
1.5920	-94.1160
1.5968	-94.1128
1.6016	-94.3065
1.6063	-93.0488
1.6111	-94.6840
1.6158	-93.6523
1.6206	-94.0782
1.6253	-94.1713
1.6301	-94.6031
1.6348	-93.9086
1.6396	-93.9316
1.6443	-92.6873
1.6491	-93.2790
1.6538	-93.6700
1.6586	-93.5823
1.6633	-94.5028
1.6681	-94.6618
1.6728	-93.9180
1.6776	-93.9163
1.6823	-94.6440
1.6871	-93.9722
1.6918	-93.4515
1.6966	-92.9648
1.7014	-93.8326
1.7061	-94.0716
1.7109	-94.2400
1.7156	-94.0524
1.7204	-94.2072
1.7251	-93.6711
1.7299	-94.3387
1.7346	-93.9898
1.7394	-94.2754
1.7441	-93.8681
1.7489	-94.0060
1.7536	-93.9744
1.7584	-92.8654
1.7631	-93.9056
1.7679	-94.3315
1.7726	-93.9799
1.7774	-94.1514
1.7821	-92.8796
1.7869	-93.8286
1.7916	-94.1954
1.7964	-92.8418
1.8012	-93.7923
1.8059	-93.9125
1.8107	-94.1293
1.8154	-93.3087
1.8202	-92.6016
1.8249	-93.6791
1.8297	-93.0306
1.8344	-93.8996
1.8392	-93.4418
1.8439	-93.1176
1.8487	-93.2525
1.8534	-93.2182
1.8582	-94.3248
1.8629	-93.4491
1.8677	-93.7287
1.8724	-93.7274
1.8772	-93.3412
1.8819	-93.7279
1.8867	-93.4651
1.8914	-93.5600
1.8962	-92.8618
1.9010	-94.1546
1.9057	-93.6996
1.9105	-92.7451
1.9152	-94.2734
1.9200	-93.5617
1.9247	-94.0455
1.9295	-93.9351
1.9342	-93.1778
1.9390	-93.0241
1.9437	-93.1369
1.9485	-93.9428
1.9532	-94.4631
1.9580	-93.8976
1.9627	-92.5863
1.9675	-93.6658
1.9722	-93.2073
1.9770	-93.4205
1.9817	-94.2392
1.9865	-92.9173
1.9912	-93.3278
1.9960	-93.6990
2.0008	-94.2269
2.0055	-94.3287
2.0103	-94.9303
2.0150	-93.4657
2.0198	-94.0248
2.0245	-94.9495
2.0293	-94.0501
2.0340	-93.8331
2.0388	-93.9274
2.0435	-93.6632
2.0483	-92.7512
2.0530	-93.1439
2.0578	-94.3897
2.0625	-94.6767
2.0673	-93.9186
2.0720	-93.6012
2.0768	-93.8062
2.0815	-94.2982
2.0863	-94.0240
2.0910	-94.0435
2.0958	-93.9109
2.1006	-94.0794
2.1053	-94.7674
2.1101	-95.5011
2.1148	-94.5042
2.1196	-94.4223
2.1243	-95.1720
2.1291	-94.1388
2.1338	-94.1141
2.1386	-94.4507
2.1433	-93.7701
2.1481	-94.3989
2.1528	-95.0409
2.1576	-94.7206
2.1623	-94.5725
2.1671	-94.3617
2.1718	-93.4829
2.1766	-94.6349
2.1813	-95.4220
2.1861	-94.4184
2.1908	-93.5398
2.1956	-93.9410
2.2004	-94.5530
2.2051	-94.0715
2.2099	-93.8495
2.2146	-94.7517
2.2194	-94.7887
2.2241	-95.2408
2.2289	-94.5961
2.2336	-94.5730
2.2384	-95.4016
2.2431	-94.6343
2.2479	-94.5472
2.2526	-95.3058
2.2574	-94.7106
2.2621	-94.3360
2.2669	-94.6581
2.2716	-94.9547
2.2764	-94.4132
2.2811	-95.2012
2.2859	-94.5382
2.2906	-95.6196
2.2954	-94.3535
2.3002	-95.2236
2.3049	-95.7853
2.3097	-95.5051
2.3144	-95.2930
2.3192	-95.4561
2.3239	-95.8633
2.3287	-95.7689
2.3334	-95.1287
2.3382	-94.8073
2.3429	-95.2593
2.3477	-94.8367
2.3524	-95.2237
2.3572	-94.9239
2.3619	-94.5520
2.3667	-95.9594
2.3714	-95.6958
2.3762	-94.2685
2.3809	-96.0784
2.3857	-95.6316
2.3904	-95.9644
2.3952	-95.0436
2.3999	-95.5761
2.4047	-96.1665
2.4095	-96.5608
2.4142	-96.2345
2.4190	-96.3289
2.4237	-96.6947
2.4285	-95.7664
2.4332	-95.9320
2.4380	-95.5545
2.4427	-97.0404
2.4475	-96.1530
2.4522	-97.0443
2.4570	-95.8662
2.4617	-96.0646
2.4665	-95.5141
2.4712	-95.6452
2.4760	-96.6464
2.4807	-96.7937
2.4855	-96.7764
2.4902	-96.4437
2.4950	-96.6916
2.4997	-96.2003
2.5045	-96.2749
2.5093	-97.1895
2.5140	-96.4344
2.5188	-96.3122
2.5235	-96.6406
2.5283	-96.4550
